Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate,Netsize
open,1000.0,0.0,985.284,1.7968000000000002,0.846,1.3696000000000002,420.056,1000.0,4
query,1000.0,0.0,986.3639999999999,0.0116,0.0,0.0,984.808,1000.0,4
transfer,1000.0,0.0,996.66,2.2396000000000003,0.95,1.6376,351.32800000000003,1000.0,4
open,1000.0,0.0,992.404,1.9040000000000001,0.9516,1.4687999999999999,415.24,1000.0,6
query,1000.0,0.0,988.948,0.0132,0.0,0.0,986.6439999999999,1000.0,6
transfer,1000.0,0.0,996.668,2.2048,0.9268000000000001,1.7024000000000001,358.30400000000003,1000.0,6
open,1000.0,0.0,986.796,2.072,1.05,1.5515999999999999,392.084,1000.0,8
query,1000.0,0.0,983.6080000000001,0.0176,0.0,0.0,981.2639999999999,1000.0,8
transfer,1000.0,0.0,988.9760000000001,2.3952,1.0732,1.7604,346.464,1000.0,8
open,1000.0,0.0,986.696,2.0268,1.004,1.5772,394.844,1000.0,10
query,1000.0,0.0,984.932,0.0196,0.0,0.0,982.26,1000.0,10
transfer,1000.0,0.0,984.784,2.444,0.9351999999999999,1.7648,336.36400000000003,1000.0,10
open,1000.0,0.0,981.1519999999999,2.0991999999999997,1.022,1.6052000000000002,376.852,1000.0,12
query,1000.0,0.0,984.7439999999999,0.0212,0.0,0.0,981.592,1000.0,12
transfer,1000.0,0.0,985.7760000000001,2.438,1.0328,1.7619999999999998,332.57199999999995,1000.0,12
open,1000.0,0.0,978.6519999999999,2.6856,1.14,1.8544,316.716,1000.0,14
query,1000.0,0.0,982.52,0.0236,0.0,0.0,980.084,1000.0,14
transfer,1000.0,0.0,984.1439999999999,2.806,1.0592,1.9487999999999999,292.64799999999997,1000.0,14
open,1000.0,0.0,985.28,3.0452,1.2044,2.0696,284.288,1000.0,16
query,1000.0,0.0,985.336,0.0248,0.0,0.0,982.592,1000.0,16
transfer,1000.0,0.0,986.0880000000001,3.0312,1.1088,2.0380000000000003,277.32,1000.0,16
open,1000.0,0.0,982.668,3.4019999999999997,1.19,2.2276,257.116,1000.0,18
query,1000.0,0.0,980.828,0.03,0.0,0.0,977.96,1000.0,18
transfer,1000.0,0.0,977.4839999999999,3.3404000000000003,1.1,2.2576,260.816,1000.0,18
open,1000.0,0.0,983.252,3.1752,1.22,2.1244,278.116,1000.0,20
query,1000.0,0.0,985.404,0.0292,0.0,0.0,982.816,1000.0,20
transfer,1000.0,0.0,973.836,3.4452,1.1703999999999999,2.2484,254.132,1000.0,20
open,1000.0,0.0,982.6039999999999,3.4268,1.2676,2.2596000000000003,263.24,1000.0,22
query,1000.0,0.0,981.2239999999999,0.0304,0.0,0.0,978.308,1000.0,22
transfer,1000.0,0.0,975.5239999999999,3.1456,1.2392,2.2472,269.5,1000.0,22
open,1000.0,0.0,982.1560000000001,2.892,1.0256,2.1763999999999997,297.236,1000.0,24
query,1000.0,0.0,982.028,0.0252,0.0,0.0,979.3839999999999,1000.0,24
transfer,1000.0,0.0,974.6360000000001,2.8108,1.12,2.1448,285.084,1000.0,24
open,1000.0,0.0,983.5880000000001,3.2432,1.2592,2.4076,276.652,1000.0,26
query,1000.0,0.0,981.648,0.0316,0.0,0.0012,978.164,1000.0,26
transfer,1000.0,0.0,974.448,2.9871999999999996,1.2248,2.2156000000000002,283.36400000000003,1000.0,26
open,1000.0,0.0,982.008,3.4224,1.2096,2.5008,258.272,1000.0,28
query,1000.0,0.0,982.904,0.0328,0.0,0.0004,980.084,1000.0,28
transfer,1000.0,0.0,981.784,3.2628,1.3332,2.3556,252.648,1000.0,28
open,1000.0,0.0,978.0360000000001,3.372,1.1252,2.4436,256.652,1000.0,30
query,1000.0,0.0,978.7719999999999,0.026000000000000002,0.0,0.0,976.216,1000.0,30
transfer,1000.0,0.0,962.836,3.464,1.2828,2.4375999999999998,244.792,1000.0,30
open,1000.0,0.0,983.436,3.58,1.4152,2.5816000000000003,249.108,1000.0,32
query,1000.0,0.0,982.9,0.04,0.0,0.0008,979.596,1000.0,32
transfer,1000.0,0.0,983.972,3.5595999999999997,1.3744,2.4592,242.09599999999998,1000.0,32
open,1000.0,0.0,979.2719999999999,3.6648,1.2284,2.6148000000000002,244.83599999999998,1000.0,34
query,1000.0,0.0,978.9839999999999,0.042800000000000005,0.0,0.0004,976.3760000000001,1000.0,34
transfer,1000.0,0.0,965.084,3.6828,1.3563999999999998,2.5328,231.416,1000.0,34
open,1000.0,0.0,974.944,3.8068,1.1079999999999999,2.5107999999999997,235.94,1000.0,36
query,1000.0,0.0,982.4,0.031200000000000002,0.0,0.0004,979.716,1000.0,36
transfer,1000.0,0.0,967.84,3.7415999999999996,1.3576,2.498,226.40399999999997,1000.0,36
